product_id,indication_id,evidence_text,mapping_method,source_id,confirmed
P000651,IND999,暫時緩解因眼睛乾澀所引起灼熱感與刺激感。,keyword_rule_v1,SRC001,false
P000652,IND003,眼睛疲勞、眼瞼緣炎、結膜充血、淚囊炎,keyword_rule_v1,SRC001,true
P000652,IND010,眼睛疲勞、眼瞼緣炎、結膜充血、淚囊炎,keyword_rule_v1,SRC001,true
P000652,IND011,眼睛疲勞、眼瞼緣炎、結膜充血、淚囊炎,keyword_rule_v1,SRC001,true
P000653,IND003,急、慢性結膜炎、眼瞼緣炎、角膜炎、虹膜睫狀體炎、瞼緣潰瘍、角膜潰瘍、鞏膜炎、鞏膜結合膜炎,keyword_rule_v1,SRC001,true
P000653,IND005,急、慢性結膜炎、眼瞼緣炎、角膜炎、虹膜睫狀體炎、瞼緣潰瘍、角膜潰瘍、鞏膜炎、鞏膜結合膜炎,keyword_rule_v1,SRC001,true
P000654,IND003,角膜潰瘍、外傷性角膜炎、角膜浸潤、術後感染症、眼瞼炎、流行性角膜炎、急、慢性加答兒性結膜炎、濾胞性結膜炎,keyword_rule_v1,SRC001,true
P000654,IND005,角膜潰瘍、外傷性角膜炎、角膜浸潤、術後感染症、眼瞼炎、流行性角膜炎、急、慢性加答兒性結膜炎、濾胞性結膜炎,keyword_rule_v1,SRC001,true
P000654,IND015,角膜潰瘍、外傷性角膜炎、角膜浸潤、術後感染症、眼瞼炎、流行性角膜炎、急、慢性加答兒性結膜炎、濾胞性結膜炎,keyword_rule_v1,SRC001,true
P000655,IND002,結膜炎、眼瞼炎及過敏等症,keyword_rule_v1,SRC001,true
P000655,IND003,結膜炎、眼瞼炎及過敏等症,keyword_rule_v1,SRC001,true
P000656,IND005,眼瞼炎、結合膜炎、角膜炎、虹彩炎、睫狀體炎,keyword_rule_v1,SRC001,true
P000657,IND011,眼充血,keyword_rule_v1,SRC001,true
P000658,IND003,角膜炎、結膜炎、眼睛充血、淚囊炎,keyword_rule_v1,SRC001,true
