ingredient_id,ingredient_inn,ingredient_zh,indication_id,indication_standard,product_count,license_count,active_license_count,product_names,license_numbers,evidence_source,last_updated
ING0003,Menthol,,IND0143,撞傷,8,8,5,"""德山""筋來爽藥膠布;""漁人"" 療痛貼藥膠布;〝國品〞療舒貼藥膠布;〝護民〞緩痛貼藥膠布;痛貼貼溫感貼片劑;痛貼貼貼片劑;脫酸寧涼藥布;脫酸寧透明藥布",衛署藥製字第043430號;衛署藥製字第048163號;衛署藥製字第049355號;衛署藥製字第049614號;衛署藥輸字第018206號;衛署藥輸字第018627號;衛署藥輸字第018861號;衛署藥輸字第025000號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0059,Phellodendron Bark Extract,,IND0104,暫時緩解局部疼痛,1,1,1,"""人生""舒佈巴斯",衛署藥製字第043734號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0060,Piroxicam,,IND0144,骨關節炎（關節痛,1,1,1,"""大豐""舒筋鎮凝膠10毫克/公克",衛署藥製字第043924號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0060,Piroxicam,,IND0145,退化性關節痛）,1,1,1,"""大豐""舒筋鎮凝膠10毫克/公克",衛署藥製字第043924號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0060,Piroxicam,,IND0146,外傷後或肌腱炎,1,1,1,"""大豐""舒筋鎮凝膠10毫克/公克",衛署藥製字第043924號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0060,Piroxicam,,IND0129,腱鞘炎,1,1,1,"""大豐""舒筋鎮凝膠10毫克/公克",衛署藥製字第043924號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0060,Piroxicam,,IND0147,關節周圍炎,1,1,1,"""大豐""舒筋鎮凝膠10毫克/公克",衛署藥製字第043924號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0060,Piroxicam,,IND0015,扭傷,1,1,1,"""大豐""舒筋鎮凝膠10毫克/公克",衛署藥製字第043924號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0060,Piroxicam,,IND0148,拉傷和下背疼痛等急性肌肉骨骼損傷,1,1,1,"""大豐""舒筋鎮凝膠10毫克/公克",衛署藥製字第043924號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0061,Diclofenac,,IND0149,短期使用以緩解因發炎反應引起之局部疼痛,22,22,20,"""得生""帝克洛芬藥布1% (二克氯吩鈉);""得生""帝克洛芬藥布1% (油性基劑);""德山""貼可飛消炎止痛水性藥膠布;""德山""貼達寧藥膠布140毫克;""熹樂"" 樂痛好酸痛藥布;""生春"" 待克痛貼布60毫克(待克菲那);""立康生物科技"" 待克菲那貼布 60 毫克 (待克菲那);“得生”剋洛芬 藥布0.5％（二克氯吩鈉）;〝國品〞待克菲那藥膠布 60 毫克;〝真富〞待克菲那藥膠布 60 毫克;〝護民〞痛適貼藥膠布;人生可諾分貼布;喜顧痛 貼布75毫克;日方藥研酸痛貼布;普拿疼肌立彈性透氣酸痛藥布;普拿疼肌立水性酸痛藥布;普拿疼肌立酸痛藥布;普拿疼肌立鎮痛彈性藥布;服他寧水性酸痛藥布;服他寧酸痛藥布;舒酸貼貼布 1%  (二克氯吩鈉);非炎酸痛(水性)貼布",衛署藥製字第044125號;衛署藥製字第045265號;衛署藥製字第047467號;衛署藥製字第047627號;衛署藥製字第047688號;衛署藥製字第047774號;衛署藥製字第048196號;衛署藥製字第048763號;衛署藥製字第048933號;衛署藥製字第049168號;衛署藥製字第049187號;衛署藥製字第049533號;衛署藥製字第049566號;衛署藥製字第049633號;衛署藥製字第050121號;衛署藥製字第050139號;衛署藥輸字第025124號;衛部藥製字第059641號;衛部藥製字第059772號;衛部藥輸字第028825號;衛部藥輸字第028838號;衛部藥輸字第029134號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0008,Salicylic acid,,IND0150,治療疣。,7,7,1,"""威尼斯"" 雞眼藥貼布　１７％　（水楊酸）;優德好絆雞眼貼布;威尼斯雞眼藥貼布17% (水楊酸);得好雞眼硬膏;德佑雞眼貼布;甲子雞眼貼片;金壕雞眼貼布",衛署藥製字第044335號;衛署藥輸字第009831號;衛署藥輸字第023683號;衛署藥輸字第023797號;衛署藥輸字第023948號;衛署藥輸字第023962號;衛部藥製字第059816號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0062,Scopolamine,,IND0151,預防或緩解動暈症(暈車,1,1,1,暈得寧防暈貼片劑1.5毫克(東茛菪儉),衛署藥製字第044712號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0062,Scopolamine,,IND0152,暈船,1,1,1,暈得寧防暈貼片劑1.5毫克(東茛菪儉),衛署藥製字第044712號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0062,Scopolamine,,IND0153,暈機)引起之頭暈,1,1,1,暈得寧防暈貼片劑1.5毫克(東茛菪儉),衛署藥製字第044712號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0062,Scopolamine,,IND0154,噁心,2,2,1,克暈貼片;暈得寧防暈貼片劑1.5毫克(東茛菪儉),衛署藥製字第044712號;衛署藥輸字第012884號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0062,Scopolamine,,IND0155,嘔吐,2,2,1,克暈貼片;暈得寧防暈貼片劑1.5毫克(東茛菪儉),衛署藥製字第044712號;衛署藥輸字第012884號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0062,Scopolamine,,IND0156,頭痛等症狀,1,1,1,暈得寧防暈貼片劑1.5毫克(東茛菪儉),衛署藥製字第044712號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0019,Peppermint Oil (Oleum Menth Pip),,IND0053,打撲,1,1,1,"""德山"" 舒痠痛藥布",衛署藥製字第045173號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0019,Peppermint Oil (Oleum Menth Pip),,IND0054,捻挫,1,1,1,"""德山"" 舒痠痛藥布",衛署藥製字第045173號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0019,Peppermint Oil (Oleum Menth Pip),,IND0034,肩膀痠痛,1,1,1,"""德山"" 舒痠痛藥布",衛署藥製字第045173號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0019,Peppermint Oil (Oleum Menth Pip),,IND0013,肌肉疲勞,1,1,1,"""德山"" 舒痠痛藥布",衛署藥製字第045173號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0055,Ketoprofen,,IND0157,肌腱,1,1,1,"""生春"" 貼痠克痛貼布 (可多普洛菲)",衛署藥製字第045598號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
